,channel_nu
0,438
1,439
2,440
3,441
4,442
5,443
6,444
7,445
8,447
9,448
10,449
11,450
12,451
13,452
14,453
15,454
16,456
17,457
18,458
19,459
20,460
21,461
22,462
23,463
24,464
25,465
26,466
27,467
28,469
29,470
30,471
31,472
32,473
33,474
34,475
35,476
36,477
37,478
38,479
39,480
40,481
41,483
42,484
43,485
44,486
45,487
46,488
47,489
48,490
49,491
50,497
51,498
52,500
53,501
54,502
55,503
56,505
57,506
58,507
59,508
60,509
61,511
62,512
63,513
64,515
65,517
66,522
67,523
68,527
69,528
70,529
71,530
72,531
73,532
74,537
75,539
76,542
77,543
78,544
79,570
80,571
81,572
82,573
83,574
84,575
85,516
86,499
87,468
88,437
